Subject,List,Nominal SP,word,Freq,Trialtype,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,OUTPUT ORDER,Correct,Rehearsals,Last RS,item-item,Kahana lag,Last R lag,GroupLastR,Group #R,fSP,Kahana lag+/-5,
24,8,2,PLAICE,LOW,m,,3,1,2,1,2,1,1,,1,1,,1,1,,,2,1,15,14,HIGHLOW,-14,-2,13-14,5+,8,,
24,8,3,PEACE,HIGH,m,,,2,2,1,2,1,1,,1,1,,1,1,1,,3,1,14,15,LOWHIGH,1,1,15-16,5+,15,1,
24,8,1,DOOR,HIGH,m,3,2,1,2,1,1,1,,,1,1,,1,1,1,,4,1,16,15,HIGHHIGH,-2,0,15-16,5+,12,-2,
24,8,6,WEST,HIGH,m,,,,,,2,1,1,,1,,,1,1,,,5,1,7,14,HIGHHIGH,5,-1,13-14,5+,10,5,
24,8,7,MASS,HIGH,m,,,,,,,1,1,,1,,,1,1,1,,6,1,6,15,HIGHHIGH,1,1,15-16,5+,14,1,
24,8,14,DEATH,HIGH,m,,,,,,,,,,,,,,1,,,7,1,1,14,HIGHHIGH,7,-1,13-14,1-2,9,,
24,8,4,SLEET,LOW,m,,,,2,1,,,,,,,,,,,,,0,3,5,,,,1-8,3-4,1,,
24,8,5,CUE,LOW,m,,,,,2,1,,,,,,,,,,,,0,3,6,,,,1-8,3-4,2,,
24,8,8,GNAT,LOW,m,,,,,,,,2,,,,,,,,,,0,2,8,,,,1-8,1-2,3,,
24,8,9,MALL,LOW,m,,,,,,,,,1,,,,,,,,,0,1,9,,,,9-10,1-2,4,,
24,8,10,ROAD,HIGH,m,,,,,,,,,,2,1,,,,,,,0,3,11,,,,11-12,3-4,5,,
24,8,11,BARD,LOW,m,,,,,,,,,,,1,1,,,,,,0,2,12,,,,11-12,1-2,7,,
24,8,12,VAULT,LOW,m,,,,,,,,,,,,1,,,,,,0,1,12,,,,11-12,1-2,6,,
24,8,13,SLANG,LOW,m,,,,,,,,,,,,,2,1,,,,0,3,14,,,,13-14,3-4,11,,
24,8,15,CLUB,HIGH,m,,,,,,,,,,,,,,,2,,,0,2,15,,,,15-16,1-2,13,,
24,9,6,CAR,HIGH,m,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,12,16,,,,15-16,5+,11,,
24,9,5,CHINK,LOW,m,,,,,1,1,,,1,,,,,,,,2,1,3,9,HIGHLOW,-1,-7,9-10,3-4,3,-1,
24,9,7,JOB,HIGH,m,,,,,,,2,1,1,2,1,1,1,1,1,1,3,1,12,16,LOWHIGH,2,7,15-16,5+,16,2,
24,9,10,WORK,HIGH,m,,,,,,,,,,2,1,,1,1,1,,4,1,6,15,HIGHHIGH,3,-1,15-16,5+,9,3,
24,9,2,NIGHT,HIGH,m,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,18,16,HIGHHIGH,-8,1,15-16,5+,15,,
24,9,16,STATE,HIGH,m,,,,,,,,,,,,,,,,1,6,1,1,16,HIGHHIGH,14,0,15-16,1-2,13,,
24,9,1,SAP,LOW,m,3,1,2,1,1,1,1,,,,1,,1,,1,,,0,13,15,,,,15-16,5+,10,,
24,9,3,SHALE,LOW,m,,,2,1,,1,1,,,,,,,,,,,0,5,7,,,,1-8,5+,2,,
24,9,4,FRILL,LOW,m,,,,2,1,,,,,,,,,,,,,0,3,5,,,,1-8,3-4,1,,
24,9,8,BRAWL,LOW,m,,,,,,,,2,,1,,,1,,,,,0,4,13,,,,13-14,3-4,7,,
24,9,9,FLARE,LOW,m,,,,,,,,,1,,,1,,,,,,0,2,12,,,,11-12,1-2,5,,
24,9,11,BOARD,HIGH,m,,,,,,,,,,,1,1,,,,,,0,2,12,,,,11-12,1-2,6,,
24,9,12,SCROLL,LOW,m,,,,,,,,,,,,2,,,,,,0,2,12,,,,11-12,1-2,4,,
24,9,13,GROUP,HIGH,m,,,,,,,,,,,,,1,1,1,1,,0,4,16,,,,15-16,3-4,14,,
24,9,14,LEFT,HIGH,m,,,,,,,,,,,,,,2,1,1,,0,4,16,,,,15-16,3-4,12,,
24,9,15,SPREE,LOW,m,,,,,,,,,,,,,,,2,,,0,2,15,,,,15-16,1-2,8,,
24,10,16,MITE,LOW,m,,,,,,,,,,,,,,,,1,1,1,1,16,,,,15-16,1-2,16,,
24,10,2,BLOOD,HIGH,m,,2,2,1,1,1,1,1,1,1,1,1,,1,1,,2,1,15,15,LOWHIGH,-14,-1,15-16,5+,15,,
24,10,3,CASE,HIGH,m,,,2,1,1,1,1,1,1,1,1,1,,1,1,,3,1,13,15,HIGHHIGH,1,0,15-16,5+,12,1,
24,10,7,RANGE,HIGH,m,,,,,,,2,1,1,,1,1,,1,1,,4,1,8,15,HIGHHIGH,4,0,15-16,5+,11,4,
24,10,8,HOPE,HIGH,m,,,,,,,,2,1,1,1,1,1,1,1,,5,1,9,15,HIGHHIGH,1,0,15-16,5+,10,1,
24,10,14,BOY,HIGH,m,,,,,,,,,,,,,,1,1,,6,1,2,15,HIGHHIGH,6,0,15-16,1-2,14,,
24,10,4,HUMP,LOW,m,,,,1,1,1,,,,,,,,,,,7,1,3,6,HIGHLOW,-10,-9,1-8,3-4,1,,
24,10,1,PLAIT,LOW,m,1,1,1,,,1,1,,1,1,,,,,,,,0,7,10,,,,9-10,5+,4,,
24,10,5,VANE,LOW,m,,,,,2,,,,,1,,,,,,,,0,3,10,,,,9-10,3-4,5,,
24,10,6,PROW,LOW,m,,,,,,1,1,,,,,,,,,,,0,2,7,,,,1-8,1-2,2,,
24,10,9,ELF,LOW,m,,,,,,,,,1,,,,,,,,,0,1,9,,,,9-10,1-2,3,,
24,10,10,STOCK,HIGH,m,,,,,,,,,,2,1,,,,,,,0,3,11,,,,11-12,3-4,7,,
24,10,11,LINE,HIGH,m,,,,,,,,,,,1,,,,,,,0,1,11,,,,11-12,1-2,6,,
24,10,12,CLAM,LOW,m,,,,,,,,,,,,2,,,,,,0,2,12,,,,11-12,1-2,8,,
24,10,13,CRUMB,LOW,m,,,,,,,,,,,,,2,,,,,0,2,13,,,,13-14,1-2,9,,
24,10,15,FEAR,HIGH,m,,,,,,,,,,,,,,,2,,,0,2,15,,,,15-16,1-2,13,,
24,11,7,WOMB,LOW,l,,,,,,,2,1,1,,,,,,1,1,1,1,6,16,,,,15-16,5+,13,,
24,11,16,KINK,LOW,l,,,,,,,,,,,,,,,,2,2,1,2,16,LOWLOW,9,0,15-16,1-2,16,,
24,11,1,SOOT,LOW,l,3,1,1,1,1,,,1,1,,1,1,,1,,1,3,1,13,16,LOWLOW,-15,0,15-16,5+,15,,
24,11,2,ROGUE,LOW,l,,2,1,,,1,,1,1,1,1,1,1,1,1,1,4,1,13,16,LOWLOW,1,0,15-16,5+,14,1,
24,11,10,SCAB,LOW,l,,,,,,,,,,2,1,1,1,1,,,5,1,6,14,LOWLOW,8,-2,13-14,5+,8,,
24,11,3,PEW,LOW,l,,,2,1,,,,,,,,,,,,,,0,3,4,,,,1-8,3-4,1,,
24,11,4,CASTE,LOW,l,,,,1,1,,,,,,,,,,,,,0,2,5,,,,1-8,1-2,2,,
24,11,5,CRYPT,LOW,l,,,,,2,1,,,1,,,,,,1,,,0,5,15,,,,15-16,5+,11,,
24,11,6,PEST,LOW,l,,,,,,1,,,,,,,,,,,,0,1,6,,,,1-8,1-2,3,,
24,11,8,PRONG,LOW,l,,,,,,,,1,,,1,,,,,,,0,2,11,,,,11-12,1-2,5,,
24,11,9,BEAU,LOW,l,,,,,,,,,1,,,,,,,,,0,1,9,,,,9-10,1-2,4,,
24,11,11,BEAK,LOW,l,,,,,,,,,,,2,1,,,,,,0,3,12,,,,11-12,3-4,6,,
24,11,12,CLOAK,LOW,l,,,,,,,,,,,,1,,,,,,0,1,12,,,,11-12,1-2,7,,
24,11,13,TRIBE,LOW,l,,,,,,,,,,,,,1,1,1,,,0,3,15,,,,15-16,3-4,9,,
24,11,14,MAIZE,LOW,l,,,,,,,,,,,,,,2,1,,,0,3,15,,,,15-16,3-4,12,,
24,11,15,CRANK,LOW,l,,,,,,,,,,,,,,,1,,,0,1,15,,,,15-16,1-2,10,,
24,12,1,LAIR,LOW,l,3,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,16,16,,,,15-16,5+,14,,
24,12,2,LISP,LOW,l,,2,1,1,1,,1,1,1,1,1,,1,1,1,1,2,1,14,16,LOWLOW,1,0,15-16,5+,16,1,
24,12,9,THONG,LOW,l,,,,,,,,,2,1,1,1,1,1,1,,3,1,8,15,LOWLOW,7,-1,15-16,5+,12,,
24,12,16,VERB,LOW,l,,,,,,,,,,,,,,,,2,4,1,2,16,LOWLOW,7,1,15-16,1-2,15,,
24,12,3,WATT,LOW,l,,,1,1,,,,,,,,,,,,,,0,2,4,,,,1-8,1-2,1,,
24,12,4,FLUE,LOW,l,,,,1,,1,,,,,,,,,,,,0,2,6,,,,1-8,1-2,3,,
24,12,5,STRIPE,LOW,l,,,,,2,,,,,,,,,,,,,0,2,5,,,,1-8,1-2,2,,
24,12,6,TRANCE,LOW,l,,,,,,1,,,,,,,,,,,,0,1,6,,,,1-8,1-2,4,,
24,12,7,GREED,LOW,l,,,,,,,2,1,,,,,,,,,,0,3,8,,,,1-8,3-4,6,,
24,12,8,OAT,LOW,l,,,,,,,,2,,,,,,,,,,0,2,8,,,,1-8,1-2,5,,
24,12,10,MASH,LOW,l,,,,,,,,,,2,1,,1,,,,,0,4,13,,,,13-14,3-4,10,,
24,12,11,LOON,LOW,l,,,,,,,,,,,2,,,,,,,0,2,11,,,,11-12,1-2,7,,
24,12,12,GIST,LOW,l,,,,,,,,,,,,1,,,,,,0,1,12,,,,11-12,1-2,8,,
24,12,13,CACHE,LOW,l,,,,,,,,,,,,,1,,,,,0,1,13,,,,13-14,1-2,9,,
24,12,14,PEG,LOW,l,,,,,,,,,,,,,,2,,,,0,2,14,,,,13-14,1-2,11,,
24,12,15,SLUSH,LOW,l,,,,,,,,,,,,,,,1,,,0,1,15,,,,15-16,1-2,13,,
24,13,16,LAW,HIGH,h,,,,,,,,,,,,,,,,1,1,1,1,16,,,,15-16,1-2,14,,
24,13,10,WAY,HIGH,h,,,,,,,,,,2,1,1,1,1,,,2,1,6,14,HIGHHIGH,-6,-2,13-14,5+,11,,
24,13,9,GAME,HIGH,h,,,,,,,,,1,1,,1,1,1,,,3,1,5,14,HIGHHIGH,-1,0,13-14,5+,10,-1,
24,13,1,BLUE,HIGH,h,4,1,3,1,1,1,1,,1,1,1,1,1,,1,1,4,1,19,16,HIGHHIGH,-8,2,15-16,5+,15,,
24,13,4,WORLD,HIGH,h,,,,2,1,1,1,1,1,1,1,,,,,,5,1,9,11,HIGHHIGH,3,-5,11-12,5+,6,3,
24,13,2,WELL,HIGH,h,,1,3,1,1,1,2,1,1,1,1,1,1,,1,1,6,1,17,16,HIGHHIGH,-2,5,15-16,5+,16,-2,
24,13,15,POOL,HIGH,h,,,,,,,,,,,,,,,1,,7,1,1,15,HIGHHIGH,13,-1,15-16,1-2,13,,
24,13,3,TAX,HIGH,h,,,3,1,,,,,1,,,,1,,,,,0,6,13,,,,13-14,5+,9,,
24,13,5,HEAD,HIGH,h,,,,,1,,,,,,,,,,,,,0,1,5,,,,1-8,1-2,1,,
