subject,stim1,stim2,resp,rt,freq,type,procedure,trial,rem,fam,new,acc
3,baby.pict,FRAME,HighPicHighWord,541,High,NA,study,7,0,0,0,NA
3,table.pict,VAULT,HighPicLowWord,502,Low,NA,study,8,0,0,0,NA
3,pot2.pict,HUSBAND,HighPicHighWord,564,High,NA,study,9,0,0,0,NA
3,pig.pict,PARCEL,LowPicLowWord,2999,Low,NA,study,10,0,0,0,NA
3,bottle2.pict,MIXER,HighPicLowWord,619,Low,NA,study,11,0,0,0,NA
3,briefcase.pict,COURT,LowPicHighWord,499,High,NA,study,12,0,0,0,NA
3,elephant.pict,SINGER,LowPicLowWord,565,Low,NA,study,13,0,0,0,NA
3,umbrella.pict,MOISTURE,LowPicLowWord,526,Low,NA,study,14,0,0,0,NA
3,lemon.pict,SHOULDER,HighPicHighWord,643,High,NA,study,15,0,0,0,NA
3,squash.pict,CHIEF,LowPicHighWord,1658,High,NA,study,16,0,0,0,NA
3,stove.pict,STRIPE,HighPicLowWord,762,Low,NA,study,17,0,0,0,NA
3,calculator.pict,CORNER,LowPicHighWord,478,High,NA,study,18,0,0,0,NA
3,corn.pict,KNUCKLE,HighPicLowWord,1218,Low,NA,study,19,0,0,0,NA
3,piano.pict,COLLEGE,HighPicHighWord,637,High,NA,study,20,0,0,0,NA
3,drum2.pict,BANKER,HighPicLowWord,871,Low,NA,study,21,0,0,0,NA
3,duck.pict,MONKEY,LowPicLowWord,514,Low,NA,study,22,0,0,0,NA
3,camera.pict,FAMILY,HighPicHighWord,611,High,NA,study,23,0,0,0,NA
3,lighthouse.pict,TWEED,LowPicLowWord,726,Low,NA,study,24,0,0,0,NA
3,salad.pict,MUSIC,LowPicHighWord,514,High,NA,study,25,0,0,0,NA
3,gloves.pict,BEVERAGE,LowPicLowWord,583,Low,NA,study,26,0,0,0,NA
3,scissors.pict,RACKET,LowPicLowWord,594,Low,NA,study,27,0,0,0,NA
3,grill.pict,MORPHINE,HighPicLowWord,856,Low,NA,study,28,0,0,0,NA
3,accordion.pict,BAYONET,LowPicLowWord,674,Low,NA,study,29,0,0,0,NA
3,owl.pict,SCHOOL,LowPicHighWord,703,High,NA,study,30,0,0,0,NA
3,violin.pict,POSTER,HighPicLowWord,1292,Low,NA,study,31,0,0,0,NA
3,keyboard.pict,SPIKE,LowPicLowWord,792,Low,NA,study,32,0,0,0,NA
