"encodingtask","study_rating","cond","testtria","studytria","stim1","stim2","responsecode","response","list","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,6,2,3,1,"problems","seek",2,"no",1,2,"HF","HF","HF",0,"study",1,3000,0
2,4,4,4,2,"siesta","pick",1,"pick",1,2,"LF","HF","MF",1,"study",2,3000,3000
2,7,2,10,3,"sample","putting",2,"no",1,2,"HF","HF","HF",0,"study",3,3000,6000
2,2,4,2,4,"gout","pair",1,"pair",1,2,"LF","HF","MF",1,"study",4,3000,9000
2,3,2,18,5,"stand","solution",2,"no",1,2,"HF","HF","HF",0,"study",5,3000,12000
2,1,1,19,6,"dampen","nonpartisa",2,"no",1,2,"LF","LF","LF",0,"study",6,3000,15000
2,7,3,6,7,"finds","recount",2,"no",1,2,"HF","LF","MF",0,"study",7,3000,18000
2,2,3,20,8,"teeth","lugged",2,"no",1,2,"HF","LF","MF",0,"study",8,3000,21000
2,5,4,16,9,"umber","support",2,"no",1,2,"LF","HF","MF",0,"study",9,3000,24000
2,3,4,5,10,"foal","motor",1,"motor",1,2,"LF","HF","MF",1,"study",10,3000,27000
2,2,1,11,11,"cinch","morose",0,"puree",1,2,"LF","LF","LF",0,"study",11,3000,30000
2,8,2,7,12,"experience","chance",2,"no",1,2,"HF","HF","HF",0,"study",12,3000,33000
2,5,1,13,13,"sunburn","rupee",2,"no",1,2,"LF","LF","LF",0,"study",13,3000,36000
2,2,3,8,14,"stood","typhus",2,"no",1,2,"HF","LF","MF",0,"study",14,3000,39000
2,2,1,9,15,"dwindle","slung",2,"no",1,2,"LF","LF","LF",0,"study",15,3000,42000
2,3,2,1,16,"smile","planned",1,"planned",1,2,"HF","HF","HF",1,"study",16,3000,45000
2,6,3,12,17,"goal","torrent",2,"no",1,2,"HF","LF","MF",0,"study",17,3000,48000
2,6,1,14,18,"puffed","prodded",1,"prodded",1,2,"LF","LF","LF",1,"study",18,3000,51000
2,5,3,17,19,"trip","lioness",1,"lioness",1,2,"HF","LF","MF",1,"study",19,3000,54000
2,6,4,15,20,"bunt","liberal",1,"liberal",1,2,"LF","HF","MF",1,"study",20,63000,57000
2,3,2,1,16,"smile",NA,1,"planned",1,2,"HF","HF","HF",1,"test",21,3000,120000
2,2,4,2,4,"gout",NA,1,"pair",1,2,"LF","HF","MF",1,"test",22,3000,123000
2,6,2,3,1,"problems",NA,2,"no",1,2,"HF","HF","HF",0,"test",23,3000,126000
2,4,4,4,2,"siesta",NA,1,"pick",1,2,"LF","HF","MF",1,"test",24,3000,129000
2,3,4,5,10,"foal",NA,1,"motor",1,2,"LF","HF","MF",1,"test",25,3000,132000
2,7,3,6,7,"finds",NA,2,"no",1,2,"HF","LF","MF",0,"test",26,3000,135000
2,8,2,7,12,"experience",NA,2,"no",1,2,"HF","HF","HF",0,"test",27,3000,138000
2,2,3,8,14,"stood",NA,2,"no",1,2,"HF","LF","MF",0,"test",28,3000,141000
2,2,1,9,15,"dwindle",NA,2,"no",1,2,"LF","LF","LF",0,"test",29,3000,144000
2,7,2,10,3,"sample",NA,2,"no",1,2,"HF","HF","HF",0,"test",30,3000,147000
2,2,1,11,11,"cinch",NA,0,"puree",1,2,"LF","LF","LF",0,"test",31,3000,150000
2,6,3,12,17,"goal",NA,2,"no",1,2,"HF","LF","MF",0,"test",32,3000,153000
2,5,1,13,13,"sunburn",NA,2,"no",1,2,"LF","LF","LF",0,"test",33,3000,156000
2,6,1,14,18,"puffed",NA,1,"prodded",1,2,"LF","LF","LF",1,"test",34,3000,159000
2,6,4,15,20,"bunt",NA,1,"liberal",1,2,"LF","HF","MF",1,"test",35,3000,162000
2,5,4,16,9,"umber",NA,2,"no",1,2,"LF","HF","MF",0,"test",36,3000,165000
2,5,3,17,19,"trip",NA,1,"lioness",1,2,"HF","LF","MF",1,"test",37,3000,168000
2,3,2,18,5,"stand",NA,2,"no",1,2,"HF","HF","HF",0,"test",38,3000,171000
2,1,1,19,6,"dampen",NA,2,"no",1,2,"LF","LF","LF",0,"test",39,3000,174000
2,2,3,20,8,"teeth",NA,2,"no",1,2,"HF","LF","MF",0,"test",40,93000,177000
2,5,4,12,1,"bracing","reduce",0,"support",2,2,"LF","HF","MF",0,"study",41,3000,270000
2,6,4,13,2,"sundown","pure",1,"pure",2,2,"LF","HF","MF",1,"study",42,3000,273000
2,2,4,17,3,"misstep","region",1,"region",2,2,"LF","HF","MF",1,"study",43,3000,276000
2,4,3,3,4,"ends","strove",2,"no",2,2,"HF","LF","MF",0,"study",44,3000,279000
2,6,2,2,5,"favor","created",1,"created",2,2,"HF","HF","HF",1,"study",45,3000,282000
2,2,1,19,6,"inoculatio","denting",2,"no",2,2,"LF","LF","LF",0,"study",46,3000,285000
2,8,1,10,7,"rowed","poise",1,"poised",2,2,"LF","LF","LF",1,"study",47,3000,288000
2,4,2,4,8,"same","unable",2,"no",2,2,"HF","HF","HF",0,"study",48,3000,291000
2,5,2,5,9,"types","score",2,"no",2,2,"HF","HF","HF",0,"study",49,3000,294000
2,2,2,18,10,"daughter","actual",1,"actual",2,2,"HF","HF","HF",1,"study",50,3000,297000
2,6,3,7,11,"marked","gnawing",2,"no",2,2,"HF","LF","MF",0,"study",51,3000,3e+05
2,2,1,20,12,"neapolitan","pails",1,"pail",2,2,"LF","LF","LF",1,"study",52,3000,303000
2,5,1,1,13,"mused","legume",2,"no",2,2,"LF","LF","LF",0,"study",53,3000,306000
2,6,3,14,14,"musical","madmen",2,"no",2,2,"HF","LF","MF",0,"study",54,3000,309000
2,5,3,6,15,"animal","bodice",2,"no",2,2,"HF","LF","MF",0,"study",55,3000,312000
2,5,3,8,16,"list","pall",2,"no",2,2,"HF","LF","MF",0,"study",56,3000,315000
2,7,2,9,17,"clay","central",1,"central",2,2,"HF","HF","HF",1,"study",57,3000,318000
2,6,4,11,18,"tacking","ought",1,"ought",2,2,"LF","HF","MF",1,"study",58,3000,321000
2,5,1,15,19,"dowel","furor",2,"no",2,2,"LF","LF","LF",0,"study",59,3000,324000
2,8,4,16,20,"trifle","danger",0,"problem",2,2,"LF","HF","MF",0,"study",60,63000,327000
2,5,1,1,13,"mused",NA,2,"no",2,2,"LF","LF","LF",0,"test",61,3000,390000
2,6,2,2,5,"favor",NA,1,"created",2,2,"HF","HF","HF",1,"test",62,3000,393000
2,4,3,3,4,"ends",NA,2,"no",2,2,"HF","LF","MF",0,"test",63,3000,396000
2,4,2,4,8,"same",NA,2,"no",2,2,"HF","HF","HF",0,"test",64,3000,399000
2,5,2,5,9,"types",NA,2,"no",2,2,"HF","HF","HF",0,"test",65,3000,402000
2,5,3,6,15,"animal",NA,2,"no",2,2,"HF","LF","MF",0,"test",66,3000,405000
2,6,3,7,11,"marked",NA,2,"no",2,2,"HF","LF","MF",0,"test",67,3000,408000
2,5,3,8,16,"list",NA,2,"no",2,2,"HF","LF","MF",0,"test",68,3000,411000
2,7,2,9,17,"clay",NA,1,"central",2,2,"HF","HF","HF",1,"test",69,3000,414000
2,8,1,10,7,"rowed",NA,1,"poised",2,2,"LF","LF","LF",1,"test",70,3000,417000
2,6,4,11,18,"tacking",NA,1,"ought",2,2,"LF","HF","MF",1,"test",71,3000,420000
2,5,4,12,1,"bracing",NA,0,"support",2,2,"LF","HF","MF",0,"test",72,3000,423000
2,6,4,13,2,"sundown",NA,1,"pure",2,2,"LF","HF","MF",1,"test",73,3000,426000
2,6,3,14,14,"musical",NA,2,"no",2,2,"HF","LF","MF",0,"test",74,3000,429000
2,5,1,15,19,"dowel",NA,2,"no",2,2,"LF","LF","LF",0,"test",75,3000,432000
2,8,4,16,20,"trifle",NA,0,"problem",2,2,"LF","HF","MF",0,"test",76,3000,435000
2,2,4,17,3,"misstep",NA,1,"region",2,2,"LF","HF","MF",1,"test",77,3000,438000
2,2,2,18,10,"daughter",NA,1,"actual",2,2,"HF","HF","HF",1,"test",78,3000,441000
2,2,1,19,6,"inoculatio",NA,2,"no",2,2,"LF","LF","LF",0,"test",79,3000,444000
2,2,1,20,12,"neapolitan",NA,1,"pail",2,2,"LF","LF","LF",1,"test",80,93000,447000
