"","subject","testtria","cond","wordcategory","studytria","stim1","stim2","resp","corr","conf","resptype","oldssn","oldresptype","ncorr","norec","incorr","simpleresp","expt","order","rt","blocknum","cond_prioritem1","cond_prioritem","cond_prioritem2","cond_prioritem3","cond_consec_value","cond_consec_lab","list","trial","procedure","duration","onset"
"61",1,16,"NEW",2,6,"035_c","activity","image",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,61,"test",3000,240000
"62",1,17,"NEW",1,20,"025_c","heavy","large",0,3,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,62,"test",3000,243000
"63",1,18,"REP",2,18,"077_c","smith","basis",0,2,3,1,11,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,63,"test",3000,246000
"64",1,19,"NEW",1,21,"126_c","final","last",0,2,7,1,5,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,64,"test",3000,249000
"65",1,20,"REP",2,9,"062_c","goods","market",0,3,7,1,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,65,"test",3000,252000
"66",1,21,"NEW",2,22,"017_c","membership","open",0,1,7,1,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,66,"test",3000,255000
"67",1,22,"NEW",2,5,"143_c","orders","orders",1,3,1,1,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,67,"test",3000,258000
"68",1,23,"NEW",1,23,"111_c","east","east",1,2,1,1,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,68,"test",3000,261000
"69",1,24,"NEW",1,24,"003_c","exchange","jobs",0,1,5,1,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,69,"test",3000,264000
"70",2,13,"REP",2,2,"091_c","001_t","send",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP",NA,NA,0.5,"REP1",1,1,"study",3000,0
"71",2,15,"NEW",2,3,"137_c1","002_t","broke",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP",NA,1.5,"REP2",1,2,"study",3000,3000
"72",2,2,"REP",1,4,"016_c","003_t","broke",1,4,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",1,3,"study",3000,6000
"73",2,14,"REP",1,5,"100_c","004_t","remains",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",1,4,"study",3000,9000
"74",2,10,"REP",1,6,"162_c","005_t","probably",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",1,5,"study",3000,12000
"75",2,8,"NEW",1,7,"096_c1","006_t","leading",0,3,5,10,3,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",1,6,"study",3000,15000
"76",2,1,"NEW",1,8,"012_c1","007_t","edge",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",1,7,"study",3000,18000
"77",2,16,"NEW",2,9,"067_c1","008_t","driving",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",1,8,"study",3000,21000
"78",2,11,"REP",2,10,"057_c","009_t","bear",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,9,"study",3000,24000
"79",2,12,"NEW",1,11,"156_c1","010_t","newspaper",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",1,10,"study",3000,27000
"80",2,5,"REP",1,12,"142_c","011_t","help",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",1,11,"study",3000,30000
"81",2,3,"REP",2,13,"169_c","012_t","economics",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",1,12,"study",3000,33000
"82",2,17,"REP",1,14,"160_c","013_t","file",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",1,13,"study",3000,36000
"83",2,20,"NEW",2,15,"042_c1","014_t","help",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",1,14,"study",3000,39000
"84",2,18,"NEW",1,16,"184_c1","015_t","leading",1,1,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",1,15,"study",3000,42000
"85",2,19,"NEW",2,17,"189_c1","016_t","support",0,2,2,10,2,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",1,16,"study",3000,45000
"86",2,24,"REP",2,18,"122_c","017_t","leading",0,2,5,10,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,17,"study",3000,48000
"87",2,4,"NEW",1,19,"124_c1","018_t","happy",0,2,7,10,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",1,18,"study",3000,51000
"88",2,22,"NEW",2,20,"167_c1","019_t","smart",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",1,19,"study",3000,54000
"89",2,6,"NEW",1,21,"194_c1","020_t","smile",1,2,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",1,20,"study",3000,57000
"90",2,21,"NEW",2,22,"108_c1","021_t","success",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,21,"study",3000,60000
"91",2,7,"REP",2,23,"031_c","022_t","object",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,22,"study",3000,63000
"92",2,23,"REP",2,24,"069_c","023_t","driving",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",1,23,"study",3000,66000
"93",2,13,"REP",2,2,"091_c","send","send",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP",NA,NA,0.5,"REP1",2,24,"study",3000,69000
"94",2,15,"NEW",2,3,"137_c","hardly","broke",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP",NA,1.5,"REP2",2,25,"study",3000,72000
"95",2,2,"REP",1,4,"016_c","broke","broke",1,4,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,26,"study",3000,75000
"96",2,14,"REP",1,5,"100_c","remain","remains",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,27,"study",3000,78000
"97",2,10,"REP",1,6,"162_c","probably","probably",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,28,"study",3000,81000
"98",2,8,"NEW",1,7,"096_c","solid","leading",0,3,5,10,3,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,29,"study",3000,84000
"99",2,1,"NEW",1,8,"012_c","edge","edge",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,30,"study",3000,87000
"100",2,16,"NEW",2,9,"067_c","aside","driving",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,31,"study",3000,90000
"101",2,11,"REP",2,10,"057_c","bear","bear",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,32,"study",3000,93000
"102",2,12,"NEW",1,11,"156_c","newspaper","newspaper",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,33,"study",3000,96000
"103",2,5,"REP",1,12,"142_c","help","help",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",2,34,"study",3000,99000
"104",2,3,"REP",2,13,"169_c","economic","economics",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,35,"study",3000,102000
"105",2,17,"REP",1,14,"160_c","file","file",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,36,"study",3000,105000
"106",2,20,"NEW",2,15,"042_c","setting","help",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,37,"study",3000,108000
"107",2,18,"NEW",1,16,"184_c","leading","leading",1,1,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,38,"study",3000,111000
"108",2,19,"NEW",2,17,"189_c","supported","support",0,2,2,10,2,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,39,"study",3000,114000
"109",2,24,"REP",2,18,"122_c","movement","leading",0,2,5,10,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,40,"study",3000,117000
"110",2,4,"NEW",1,19,"124_c","really","happy",0,2,7,10,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,41,"study",3000,120000
"111",2,22,"NEW",2,20,"167_c","experience","smart",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",2,42,"study",3000,123000
"112",2,6,"NEW",1,21,"194_c","smile","smile",1,2,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,43,"study",3000,126000
"113",2,21,"NEW",2,22,"108_c","doctor","success",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,44,"study",3000,129000
"114",2,7,"REP",2,23,"031_c","object","object",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,45,"study",3000,132000
"115",2,23,"REP",2,24,"069_c","driving","driving",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,46,"study",3000,135000
"116",2,1,"NEW",1,8,"012_c","edge","edge",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,47,"test",63000,198000
"117",2,2,"REP",1,4,"016_c","broke","broke",1,4,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,48,"test",3000,201000
"118",2,3,"REP",2,13,"169_c","economic","economics",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,49,"test",3000,204000
"119",2,4,"NEW",1,19,"124_c","really","happy",0,2,7,10,7,0,0,1,3,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,50,"test",3000,207000
"120",2,5,"REP",1,12,"142_c","help","help",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",2,51,"test",3000,210000
"121",2,6,"NEW",1,21,"194_c","smile","smile",1,2,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,52,"test",3000,213000
"122",2,7,"REP",2,23,"031_c","object","object",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,53,"test",3000,216000
"123",2,8,"NEW",1,7,"096_c","solid","leading",0,3,5,10,3,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,54,"test",3000,219000
"124",2,10,"REP",1,6,"162_c","probably","probably",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,55,"test",3000,222000
"125",2,11,"REP",2,10,"057_c","bear","bear",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,56,"test",3000,225000
"126",2,12,"NEW",1,11,"156_c","newspaper","newspaper",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,57,"test",3000,228000
"127",2,13,"REP",2,2,"091_c","send","send",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP",NA,NA,0.5,"REP1",2,58,"test",3000,231000
"128",2,14,"REP",1,5,"100_c","remain","remains",0,6,2,10,2,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","REP",0.5,"REP1",2,59,"test",3000,234000
"129",2,15,"NEW",2,3,"137_c","hardly","broke",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP",NA,1.5,"REP2",2,60,"test",3000,237000
"130",2,16,"NEW",2,9,"067_c","aside","driving",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,61,"test",3000,240000
"131",2,17,"REP",1,14,"160_c","file","file",1,6,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","REP","NEW",1.5,"REP2",2,62,"test",3000,243000
"132",2,18,"NEW",1,16,"184_c","leading","leading",1,1,1,10,1,1,0,0,1,1,NA,NA,NA,"NEW","NEW","REP","REP",-0.5,"NEW1",2,63,"test",3000,246000
"133",2,19,"NEW",2,17,"189_c","supported","support",0,2,2,10,2,1,0,0,1,1,NA,NA,NA,"NEW","NEW","NEW","REP",-1.5,"NEW2",2,64,"test",3000,249000
"134",2,20,"NEW",2,15,"042_c","setting","help",0,1,4,10,12,0,0,1,3,1,NA,NA,NA,"REP","REP","REP","REP",2.5,"REP3",2,65,"test",3000,252000
"135",2,21,"NEW",2,22,"108_c","doctor","success",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,66,"test",3000,255000
"136",2,22,"NEW",2,20,"167_c","experience","smart",0,1,7,10,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","REP","NEW",-0.5,"NEW1",2,67,"test",3000,258000
"137",2,23,"REP",2,24,"069_c","driving","driving",1,5,1,10,1,1,0,0,1,1,NA,NA,NA,"REP","REP","NEW","NEW",0.5,"REP1",2,68,"test",3000,261000
"138",2,24,"REP",2,18,"122_c","movement","leading",0,2,5,10,3,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",2,69,"test",3000,264000
"139",3,10,"NEW",1,2,"146_c1","001_t","house",0,2,7,11,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW",NA,NA,-0.5,"NEW1",1,1,"study",3000,0
"140",3,2,"NEW",2,3,"099_c1","002_t","look",0,2,7,11,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW",NA,-1.5,"NEW2",1,2,"study",3000,3000
"141",3,8,"NEW",1,4,"182_c1","003_t","work",0,3,7,11,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,3,"study",3000,6000
"142",3,19,"NEW",2,5,"117_c1","004_t","cross",0,2,7,11,7,0,0,1,3,1,NA,NA,NA,"NEW","NEW","NEW","NEW",-2.5,"NEW3",1,4,"study",3000,9000
