"subject","group","condition","list","stim1","stim2","free_recall_acc","cued_recall_acc","cue_type","trial","cue_type_prioritem1","cue_type_prioritem2","cue_type_prioritem3","cue_type_prioritem4","cue_type_consec_value","cue_type_consec_lab","procedure","testtria","response","duration","extra","onset"
11,"C","Reh+Att","B2","Größe","Beschreibung",0,NA,"TBF",20,"TBF","TBF","TBF","TBR",-2.5,"TBF3","study",NA,NA,3000,0,57000
11,"C","Reh+Att","B2","Umstand","Socken",0,NA,"TBF",21,"TBF","TBF","TBF","TBF",-2.5,"TBF3","study",NA,NA,3000,0,60000
11,"C","Reh+Att","B2","Vorschlag","Poster",0,0,"TBR",22,"TBF","TBF","TBF","TBF",-2.5,"TBF3","study",NA,NA,3000,0,63000
11,"C","Reh+Att","B2","Wissenschaft","Tasse",0,NA,"TBF",23,"TBR","TBF","TBF","TBF",0.5,"TBR1","study",NA,NA,3000,0,66000
11,"C","Reh+Att","B2","Idee","Morgen",1,1,"TBR",24,"TBF","TBR","TBF","TBF",-0.5,"TBF1","study",NA,NA,3000,0,69000
11,"C","Reh+Att","B2","Raum",NA,0,0,"TBR",25,"TBF","TBR","TBF","TBF",-0.5,"TBF1","test",1,"",3000,60000,132000
11,"C","Reh+Att","B2","Idee",NA,1,1,"TBR",26,"TBF","TBR","TBF","TBF",-0.5,"TBF1","test",2,"Morgen",3000,0,135000
11,"C","Reh+Att","B2","Werk",NA,0,0,"TBR",27,"TBR","TBR","TBF","TBR",1.5,"TBR2","test",3,"",3000,0,138000
11,"C","Reh+Att","B2","Mitte",NA,1,1,"TBR",28,"TBR","TBR","TBR","TBF",2.5,"TBR3","test",4,"Stift",3000,0,141000
11,"C","Reh+Att","B2","Chef",NA,1,1,"TBR",29,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",5,"Acker",3000,0,144000
11,"C","Reh+Att","B2","Industrie",NA,0,0,"TBR",30,"TBR","TBF","TBR","TBF",0.5,"TBR1","test",6,"",3000,0,147000
11,"C","Reh+Att","B2","Haus",NA,1,1,"TBR",31,"TBF","TBF",NA,NA,-1.5,"TBF2","test",7,"System",3000,0,150000
11,"C","Reh+Att","B2","Arme",NA,1,1,"TBR",32,"TBR","TBF","TBR","TBR",0.5,"TBR1","test",8,"Glück",3000,0,153000
11,"C","Reh+Att","B2","Zahl",NA,0,0,"TBR",33,"TBF","TBR","TBR","TBR",-0.5,"TBF1","test",9,"",3000,0,156000
11,"C","Reh+Att","B2","Vorschlag",NA,0,0,"TBR",34,"TBF","TBF","TBF","TBF",-2.5,"TBF3","test",10,"",3000,0,159000
11,"C","Reh+Att","B2","Prinzip",NA,0,0,"TBR",35,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",11,"",3000,0,162000
11,"C","Reh+Att","B2","Funktion",NA,0.5,0,"TBR",36,"TBR","TBR","TBF","TBR",1.5,"TBR2","test",12,"",3000,0,165000
11,"C","Att","C1","Lackierung","Marathon",0,NA,"TBF",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
11,"C","Att","C1","Interesse","Schere",0,0,"TBR",2,"TBF",NA,NA,NA,-0.5,"TBF1","study",NA,NA,3000,0,3000
11,"C","Att","C1","Urteil","Finger",0,NA,"TBF",3,"TBR","TBF",NA,NA,0.5,"TBR1","study",NA,NA,3000,0,6000
11,"C","Att","C1","Form","Nagel",0,0,"TBR",4,"TBF","TBR","TBF",NA,-0.5,"TBF1","study",NA,NA,3000,0,9000
11,"C","Att","C1","Winter","Marke",0,NA,"TBF",5,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,12000
11,"C","Att","C1","Darstellung","Fluss",0,NA,"TBF",6,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,15000
11,"C","Att","C1","Schüler","Leben",0,NA,"TBF",7,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,18000
11,"C","Att","C1","Handel","Gewalt",0,0,"TBR",8,"TBF","TBF","TBF","TBR",-2.5,"TBF3","study",NA,NA,3000,0,21000
11,"C","Att","C1","Gitter","Schlauch",0,0,"TBR",9,"TBR","TBF","TBF","TBF",0.5,"TBR1","study",NA,NA,3000,0,24000
11,"C","Att","C1","Denken","Park",0,0,"TBR",10,"TBR","TBR","TBF","TBF",1.5,"TBR2","study",NA,NA,3000,0,27000
11,"C","Att","C1","Kommission","Seil",0,0,"TBR",11,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,30000
11,"C","Att","C1","Produktion","Platz",0,0,"TBR",12,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,33000
11,"C","Att","C1","Falle","Heizung",0,NA,"TBF",13,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,36000
11,"C","Att","C1","Ansicht","Fisch",0,0,"TBR",14,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,39000
11,"C","Att","C1","Opfer","Wolke",0,NA,"TBF",15,"TBR","TBF","TBR","TBR",0.5,"TBR1","study",NA,NA,3000,0,42000
11,"C","Att","C1","Mitglied","Halle",0,1,"TBR",16,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,45000
11,"C","Att","C1","Laden","Knopf",0,NA,"TBF",17,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,48000
11,"C","Att","C1","Person","Schule",0,NA,"TBF",18,"TBF","TBR","TBF","TBR",-0.5,"TBF1","study",NA,NA,3000,0,51000
11,"C","Att","C1","Freibad","Abfall",0,NA,"TBF",19,"TBF","TBF","TBR","TBF",-1.5,"TBF2","study",NA,NA,3000,0,54000
11,"C","Att","C1","Küche","Gespräch",1,1,"TBR",20,"TBF","TBF","TBF","TBR",-2.5,"TBF3","study",NA,NA,3000,0,57000
11,"C","Att","C1","Schauspieler","Frau",0,1,"TBR",21,"TBR","TBF","TBF","TBF",0.5,"TBR1","study",NA,NA,3000,0,60000
11,"C","Att","C1","Mönch","Minute",0,0,"TBR",22,"TBR","TBR","TBF","TBF",1.5,"TBR2","study",NA,NA,3000,0,63000
11,"C","Att","C1","Beutel","Lenkrad",0,NA,"TBF",23,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,66000
11,"C","Att","C1","Minister","Rolle",0,NA,"TBF",24,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,69000
11,"C","Att","C1","Interesse",NA,0,0,"TBR",25,"TBF",NA,NA,NA,-0.5,"TBF1","test",1,"",3000,60000,132000
11,"C","Att","C1","Produktion",NA,0,0,"TBR",26,"TBR","TBR","TBR","TBR",2.5,"TBR3","test",2,"",3000,0,135000
11,"C","Att","C1","Denken",NA,0,0,"TBR",27,"TBR","TBR","TBF","TBF",1.5,"TBR2","test",3,"",3000,0,138000
11,"C","Att","C1","Küche",NA,1,1,"TBR",28,"TBF","TBF","TBF","TBR",-2.5,"TBF3","test",4,"Gespräch",3000,0,141000
11,"C","Att","C1","Schauspieler",NA,0,1,"TBR",29,"TBR","TBF","TBF","TBF",0.5,"TBR1","test",5,"Frau",3000,0,144000
11,"C","Att","C1","Mönch",NA,0,0,"TBR",30,"TBR","TBR","TBF","TBF",1.5,"TBR2","test",6,"",3000,0,147000
11,"C","Att","C1","Ansicht",NA,0,0,"TBR",31,"TBF","TBR","TBR","TBR",-0.5,"TBF1","test",7,"",3000,0,150000
11,"C","Att","C1","Handel",NA,0,0,"TBR",32,"TBF","TBF","TBF","TBR",-2.5,"TBF3","test",8,"",3000,0,153000
11,"C","Att","C1","Mitglied",NA,0,1,"TBR",33,"TBF","TBR","TBF","TBR",-0.5,"TBF1","test",9,"Halle",3000,0,156000
11,"C","Att","C1","Gitter",NA,0,0,"TBR",34,"TBR","TBF","TBF","TBF",0.5,"TBR1","test",10,"Schnur",3000,0,159000
11,"C","Att","C1","Form",NA,0,0,"TBR",35,"TBF","TBR","TBF",NA,-0.5,"TBF1","test",11,"Seil",3000,0,162000
11,"C","Att","C1","Kommission",NA,0,0,"TBR",36,"TBR","TBR","TBR","TBF",2.5,"TBR3","test",12,"",3000,0,165000
11,"C","Att","C2","Schreibtisch","Stelle",0,NA,"TBF",1,NA,NA,NA,NA,NA,NA,"study",NA,NA,3000,0,0
11,"C","Att","C2","Rahmen","Abend",0.5,0,"TBR",2,"TBF",NA,NA,NA,-0.5,"TBF1","study",NA,NA,3000,0,3000
11,"C","Att","C2","Wagen","Decke",0,NA,"TBF",3,"TBR","TBF",NA,NA,0.5,"TBR1","study",NA,NA,3000,0,6000
11,"C","Att","C2","Wahrheit","Leute",0,0,"TBR",4,"TBF","TBR","TBF",NA,-0.5,"TBF1","study",NA,NA,3000,0,9000
11,"C","Att","C2","Sicherheit","Politik",0,0,"TBR",5,"TBR","TBF","TBR","TBF",0.5,"TBR1","study",NA,NA,3000,0,12000
11,"C","Att","C2","Verfassung","Locher",0,0,"TBR",6,"TBR","TBR","TBF","TBR",1.5,"TBR2","study",NA,NA,3000,0,15000
11,"C","Att","C2","Absicht","Welle",0,0,"TBR",7,"TBR","TBR","TBR","TBF",2.5,"TBR3","study",NA,NA,3000,0,18000
11,"C","Att","C2","Schluß","Boot",1,1,"TBR",8,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,21000
11,"C","Att","C2","Bett","Behälter",0,0,"TBR",9,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,24000
11,"C","Att","C2","Mutter","Papier",0,NA,"TBF",10,"TBR","TBR","TBR","TBR",2.5,"TBR3","study",NA,NA,3000,0,27000
11,"C","Att","C2","Freiheit","Reihe",0,NA,"TBF",11,"TBF","TBR","TBR","TBR",-0.5,"TBF1","study",NA,NA,3000,0,30000
11,"C","Att","C2","Gegner","Musik",0,0,"TBR",12,"TBF","TBF","TBR","TBR",-1.5,"TBF2","study",NA,NA,3000,0,33000
11,"C","Att","C2","Nation","Auffassung",0,NA,"TBF",13,"TBR","TBF","TBF","TBR",0.5,"TBR1","study",NA,NA,3000,0,36000
