"encodingtask","study_rating","list","testtria","studytria","stim1","stim2","responsecode","subject","cuefreq","targetfreq","bothfreq","CuedRecall","procedure","trial","duration","onset"
2,3,1,18,18,"noxious","foal",2,2,"LF","LF","LF",0,"study",18,3000,51000
2,4,1,20,19,"bustle","paunch",2,2,"LF","LF","LF",0,"study",19,3000,54000
2,2,1,1,20,"daisies","awed",2,2,"LF","LF","LF",0,"study",20,63000,57000
2,2,1,1,20,"daisies",NA,2,2,"LF","LF","LF",0,"test",21,3000,120000
2,7,1,2,6,"winking",NA,1,2,"LF","LF","LF",1,"test",22,3000,123000
2,3,1,3,4,"plied",NA,2,2,"LF","LF","LF",0,"test",23,3000,126000
2,1,1,4,5,"frigid",NA,2,2,"LF","LF","LF",0,"test",24,3000,129000
2,2,1,5,2,"lashed",NA,2,2,"LF","LF","LF",0,"test",25,3000,132000
2,2,1,6,12,"grub",NA,2,2,"LF","LF","LF",0,"test",26,3000,135000
2,2,1,7,3,"midweek",NA,2,2,"LF","LF","LF",0,"test",27,3000,138000
2,2,1,8,9,"whirl",NA,0,2,"LF","LF","LF",0,"test",28,3000,141000
2,2,1,9,8,"valet",NA,2,2,"LF","LF","LF",0,"test",29,3000,144000
2,2,1,10,1,"overhand",NA,2,2,"LF","LF","LF",0,"test",30,3000,147000
2,2,1,11,7,"refuel",NA,2,2,"LF","LF","LF",0,"test",31,3000,150000
2,4,1,12,10,"drawl",NA,2,2,"LF","LF","LF",0,"test",32,3000,153000
2,2,1,13,13,"cooky",NA,2,2,"LF","LF","LF",0,"test",33,3000,156000
2,3,1,14,14,"bawdy",NA,2,2,"LF","LF","LF",0,"test",34,3000,159000
2,2,1,15,15,"feasts",NA,2,2,"LF","LF","LF",0,"test",35,3000,162000
2,2,1,16,16,"mythic",NA,2,2,"LF","LF","LF",0,"test",36,3000,165000
2,2,1,17,17,"forts",NA,2,2,"LF","LF","LF",0,"test",37,3000,168000
2,3,1,18,18,"noxious",NA,2,2,"LF","LF","LF",0,"test",38,3000,171000
2,8,1,19,11,"banish",NA,1,2,"LF","LF","LF",1,"test",39,3000,174000
2,4,1,20,19,"bustle",NA,2,2,"LF","LF","LF",0,"test",40,93000,177000
2,4,2,16,1,"door","learned",0,2,"HF","HF","HF",0,"study",41,3000,270000
2,3,2,17,2,"cross","method",2,2,"HF","HF","HF",0,"study",42,3000,273000
2,5,2,9,3,"eyes","animal",1,2,"HF","HF","HF",1,"study",43,3000,276000
2,1,2,10,4,"chemical","aside",2,2,"HF","HF","HF",0,"study",44,3000,279000
2,5,2,2,5,"seemed","river",2,2,"HF","HF","HF",0,"study",45,3000,282000
2,8,2,11,6,"independ","claim",0,2,"HF","HF","HF",0,"study",46,3000,285000
2,8,2,12,7,"membersh","system",1,2,"HF","HF","HF",1,"study",47,3000,288000
2,6,2,18,8,"equal","governme",1,2,"HF","HF","HF",1,"study",48,3000,291000
2,8,2,13,9,"ball","chief",1,2,"HF","HF","HF",1,"study",49,3000,294000
2,5,2,14,10,"sure","square",2,2,"HF","HF","HF",0,"study",50,3000,297000
2,3,2,15,11,"increase","hill",2,2,"HF","HF","HF",0,"study",51,3000,3e+05
2,3,2,19,12,"exist","easily",2,2,"HF","HF","HF",0,"study",52,3000,303000
2,6,2,20,13,"activity","lived",1,2,"HF","HF","HF",1,"study",53,3000,306000
2,3,2,3,14,"desk","assume",2,2,"HF","HF","HF",0,"study",54,3000,309000
2,6,2,6,15,"initial","faculty",1,2,"HF","HF","HF",1,"study",55,3000,312000
2,8,2,1,16,"song","baby",1,2,"HF","HF","HF",1,"study",56,3000,315000
2,8,2,4,17,"nearly","lips",1,2,"HF","HF","HF",1,"study",57,3000,318000
2,9,2,5,18,"reported","corps",1,2,"HF","HF","HF",1,"study",58,3000,321000
2,5,2,7,19,"provided","planned",1,2,"HF","HF","HF",1,"study",59,3000,324000
2,9,2,8,20,"shop","look",1,2,"HF","HF","HF",1,"study",60,63000,327000
