,duration,freq,list,onset,procedure,sp,stim1,study_duration,subject,trial,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,hits_pred,hits
45,0.85,hf,context1,28.45100000000001,study,46.0,sick,,0,46,sick.context1.,0.0,0.0,0.42492694232669864,1.0,1.0,True,sick.context1.,True,1.0,0.3999999869233536,1.2767987878120022,0.6109730707750067,0.3817028945355114,
46,0.55,hf,context1,29.001000000000012,study,47.0,last,,0,47,last.context1.,0.0,0.0,0.409893515139349,1.0,1.0,True,last.context1.,True,1.0,0.4,1.2130757170369961,0.593528908821733,0.3817028945355114,
47,0.85,hf,context1,29.851000000000013,study,48.0,king,,0,48,king.context1.,0.0,0.0,0.4665697428439768,1.0,1.0,True,king.context1.,True,1.0,0.39999951272535134,1.4652968082152644,0.6625747975082532,0.3817028945355114,
48,0.4,hf,context1,30.251000000000012,study,49.0,nothing,,0,49,nothing.context1.,0.0,0.0,0.40691478165262707,1.0,1.0,True,nothing.context1.,True,1.0,0.4,1.2007220107070098,0.5901470899497034,0.3817028945355114,
49,0.85,hf,context1,31.101000000000013,study,50.0,actually,,0,50,actually.context1.,0.0,0.0,0.4646724246820234,1.0,1.0,True,actually.context1.,True,1.0,0.399999999999998,1.4563249207573077,0.6601182161740347,0.3817028945355114,
50,0.4,hf,context1,31.501000000000012,study,51.0,doctor,,0,51,doctor.context1.,0.0,0.0,0.40533499026074477,1.0,1.0,True,doctor.context1.,True,1.0000000000000002,0.39999999999931096,1.1942067045832716,0.588363529242584,0.3817028945355114,
51,0.4,lf,context1,31.90100000000001,study,52.0,muzzles,,0,52,muzzles.context1.,0.0,0.0,0.2598727969791928,1.0,1.0,True,muzzles.context1.,True,1.0,0.20159361703258788,1.0038431753406862,0.7548120274670903,0.3817028945355114,
52,0.55,hf,context1,32.45100000000001,study,53.0,turn,,0,53,turn.context1.,0.0,0.0,0.29313014382625857,1.0,1.0,True,turn.context1.,True,1.0,0.3999999999999902,0.796281147873593,0.479431673376307,0.3817028945355114,
53,0.55,lf,context1,33.001000000000005,study,54.0,inventiveness,,0,54,inventiveness.context1.,0.0,0.0,0.20499299296704043,1.0,1.0,True,inventiveness.context1.,True,1.0,0.2023856574276139,0.8640994744972832,0.7091428805741882,0.3817028945355114,
54,0.55,hf,context1,33.551,study,55.0,rules,,0,55,rules.context1.,0.0,0.0,0.2594939131004869,1.0,1.0,True,rules.context1.,True,1.0,0.39976370697988295,0.7022065939230921,0.4539010710958435,0.3817028945355114,
55,0.4,hf,context1,33.951,study,56.0,course,,0,56,course.context1.,0.0,0.0,0.23746090594133132,1.0,1.0,True,course.context1.,True,1.0,0.4,0.6463055228272472,0.4383759460036104,0.3817028945355114,
56,0.85,lf,context1,34.801,study,57.0,popguns,,0,57,popguns.context1.,0.0,0.0,0.27628273498374556,1.0,1.0,True,popguns.context1.,True,1.0,0.2003996002665334,1.0536795768236382,0.7722047749888998,0.3817028945355114,
57,0.55,lf,context1,35.351,study,58.0,paperhanger,,0,58,paperhanger.context1.,0.0,0.0,0.1890575740722466,1.0,1.0,True,paperhanger.context1.,True,1.0,0.20317453598894297,0.8287248018347355,0.6969233510515545,0.3817028945355114,
58,0.4,lf,context1,35.751,study,59.0,maraca,,0,59,maraca.context1.,0.0,0.0,0.0,1.0,1.0,True,maraca.context1.,True,0.9290710191816767,0.20119640718921294,0.5298014507831796,0.5298014507831796,0.3817028945355114,
59,0.4,lf,context1,36.150999999999996,study,60.0,noncaloric,,0,60,noncaloric.context1.,0.0,0.0,0.0,1.0,1.0,True,noncaloric.context1.,True,0.8312720120900324,0.2003996002665334,0.3979999999999986,0.3979999999999986,0.3817028945355114,
60,0.4,lf,context1,36.550999999999995,study,61.0,fairing,,0,61,fairing.context1.,0.0,0.0,0.0,1.0,1.0,True,fairing.context1.,True,0.8316708139547008,0.2007984021312017,0.3979999999999986,0.3979999999999986,0.3817028945355114,
61,0.85,hf,context1,37.400999999999996,study,62.0,does,,0,62,does.context1.,0.0,0.0,0.3093026651464015,1.0,1.0,True,does.context1.,True,1.0,0.4,0.8457500000000014,0.49297373866666705,0.3817028945355114,
62,0.55,lf,context1,37.95099999999999,study,63.0,wavered,,0,63,wavered.context1.,0.0,0.0,0.221396762480413,1.0,1.0,True,wavered.context1.,True,1.0,0.20356779352833987,0.9000262613333315,0.7192778200976006,0.3817028945355114,
63,0.4,hf,context1,38.35099999999999,study,64.0,join,,0,64,join.context1.,0.0,0.0,0.20753442632498956,1.0,1.0,True,join.context1.,True,1.0,0.39995238858013804,0.5787484412357295,0.4199258319549478,0.3817028945355114,
64,0.85,hf,context1,39.20099999999999,study,65.0,pick,,0,65,pick.context1.,0.0,0.0,0.3562978326502785,1.0,1.0,True,pick.context1.,True,1.0,0.39999999951575876,1.0045726092807832,0.5364513225604167,0.3817028945355114,
