,Unnamed: 0,subject,stim1,stim2,freq,triatype,procedure,trial,rt,source,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,resp,rem,know,new,acc,duration,onset,list,old,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,old_pred
103,104,1,umbrella.pict,nan,high,old,test,104,363,original,low,low,high,high,-0.5,low1,new,0.0,0.0,1.0,0.0,1863,549.54,context1,0.0,context1.umbrella.pict.nan.,0.10258702124559047,0.2597442557428491,0.0,1.0,1.0,True,context1.umbrella.pict.market.,False,1.0,0.4818209790199943,0.3,0.3,3.0,1.0803501563464106,0.7438664937587306
107,108,1,gloves.pict,nan,high,old,test,108,1129,original,high,high,high,low,1.5,high2,rem,1.0,0.0,0.0,1.0,2629,558.062,context1,1.0,context1.gloves.pict.nan.,0.10185760968644127,0.2586306116715015,0.0,1.0,1.0,True,context1.gloves.pict.dinner.,False,1.0,0.481041428170051,0.3,0.3,3.0,1.0816772635844454,0.7308037568147596
111,112,1,elephant.pict,nan,low,old,test,112,1034,original,high,high,high,high,2.5,high3,rem,1.0,0.0,0.0,1.0,2534,568.071,context1,1.0,context1.elephant.pict.nan.,0.10361964479745102,0.26192162759888155,0.0,1.0,1.0,True,context1.elephant.pict.nozzle.,False,1.0,0.4833451393192171,0.3,0.3,3.0,1.077764467153711,0.7617778960236254
113,114,1,stove.pict,nan,low,old,test,114,1972,original,high,high,high,high,2.5,high3,new,0.0,0.0,1.0,0.0,3472,573.446,context1,0.0,context1.stove.pict.nan.,0.10002660175057808,0.2555863187396909,0.0,1.0,1.0,True,context1.stove.pict.steeple.,False,1.0,0.47891042311778365,0.3,0.3,3.0,1.0853145572398029,0.6966080061463946
114,115,1,basket.pict,nan,low,old,test,115,1025,original,high,high,high,high,2.5,high3,fam,0.0,1.0,0.0,1.0,2525,576.918,context1,1.0,context1.basket.pict.nan.,0.10088364130967464,0.25717657359428275,0.0,1.0,1.0,True,context1.basket.pict.minstrel.,False,1.0,0.4800236015159979,0.3,0.3,3.0,1.0834149358843095,0.7128555154923747
116,117,1,binoculars.pict,nan,low,old,test,117,882,original,low,low,low,high,-1.5,low2,new,0.0,0.0,1.0,0.0,2382,581.9259999999999,context1,0.0,context1.binoculars.pict.nan.,0.0865906683981686,0.2194043483068271,0.0,1.0,1.0,True,context1.binoculars.pict.satin.,False,1.0,0.48269975625010386,0.3,0.3,3.0,1.078860104424404,0.4116283264730197
119,120,1,basketball.pict,nan,low,old,test,120,1346,original,high,high,low,low,0.5,high1,fam,0.0,1.0,0.0,1.0,2846,588.496,context1,1.0,context1.basketball.pict.nan.,0.0981484556684479,0.25003042418360255,0.0,1.0,1.0,True,context1.basketball.pict.tailor.,False,1.0,0.48041182069781374,0.3,0.3,3.0,1.0827491031672882,0.6596485171833868
40,161,2,balloons.pict,nan,high,old,test,41,2589,original,low,low,low,high,-1.5,low2,rem,1.0,0.0,0.0,1.0,4089,387.46799999999996,context1,1.0,context1.balloons.pict.nan.,0.11739022294497092,0.278474910935339,0.0,1.0,1.0,True,context1.balloons.pict.hotel.,False,1.0,0.49493243765473727,0.3,0.3,3.0,1.0583529177547528,0.929008016978772
42,163,2,pig.pict,nan,low,old,test,43,1345,original,high,high,low,high,0.5,high1,rem,1.0,0.0,0.0,1.0,2845,394.142,context1,1.0,context1.pig.pict.nan.,0.11936274577066361,0.2824199935584964,0.0,1.0,1.0,True,context1.pig.pict.crumb.,False,1.0,0.49769399549094745,0.3,0.3,3.0,1.0537861045972794,0.9425783454630384
44,165,2,owl.pict,nan,high,old,test,45,1350,original,low,low,low,low,-3.5,low4,rem,1.0,0.0,0.0,1.0,2850,399.83299999999997,context1,1.0,context1.owl.pict.nan.,0.11683448413443827,0.2788936003597646,0.0,1.0,1.0,True,context1.owl.pict.children.,False,1.0,0.4952255202518352,0.3,0.3,3.0,1.057864518427142,0.9247711206762242
45,166,2,bacon.pict,nan,low,old,test,46,1144,original,high,high,low,low,0.5,high1,rem,1.0,0.0,0.0,1.0,2644,402.683,context1,1.0,context1.bacon.pict.nan.,0.11398989187160298,0.2743622222395266,0.0,1.0,1.0,True,context1.bacon.pict.beverage.,False,1.0,0.4920535555676686,0.3,0.3,3.0,1.0631330198484532,0.9000198541272131
47,168,2,umbrella.pict,nan,low,old,test,48,1265,original,high,high,low,high,0.5,high1,fam,0.0,1.0,0.0,1.0,2765,408.183,context1,1.0,context1.umbrella.pict.nan.,0.11855715436650335,0.28261519244773187,0.0,1.0,1.0,True,context1.umbrella.pict.pendulum.,False,1.0,0.49783063471341227,0.3,0.3,3.0,1.053562237668351,0.9373055933695387
50,171,2,computer.pict,nan,low,old,test,51,1017,original,low,low,low,high,-1.5,low2,rem,1.0,0.0,0.0,1.0,2517,416.363,context1,1.0,context1.computer.pict.nan.,0.11264688183616983,0.27318534338281586,0.0,1.0,1.0,True,context1.computer.pict.vault.,False,1.0,0.49122974036797107,0.3,0.3,3.0,1.0645058809943926,0.8864559740515032
52,173,2,bike.pict,nan,high,old,test,53,1321,original,low,low,low,high,-1.5,low2,fam,0.0,1.0,0.0,1.0,2821,421.44599999999997,context1,1.0,context1.bike.pict.nan.,0.11083813147373585,0.27044104872946934,0.0,1.0,1.0,True,context1.bike.pict.record.,False,1.0,0.4893087341106285,0.3,0.3,3.0,1.0677175877346108,0.8661857458763245
53,174,2,lighthouse.pict,nan,high,old,test,54,1491,original,high,high,high,high,3.5,high4,fam,0.0,1.0,0.0,1.0,2991,424.267,context1,1.0,context1.lighthouse.pict.nan.,0.11435167358053426,0.2766883448221103,0.0,1.0,1.0,True,context1.lighthouse.pict.audience.,False,1.0,0.49368184137547716,0.3,0.3,3.0,1.060424274311326,0.9034626727717243
54,175,2,car.pict,nan,high,old,test,55,2728,original,high,high,low,low,0.5,high1,new,0.0,0.0,1.0,0.0,4228,427.258,context1,0.0,context1.car.pict.nan.,0.11526787439358296,0.27843601631589276,0.0,1.0,1.0,True,context1.car.pict.crowd.,False,1.0,0.49490521142112487,0.3,0.3,3.0,1.0583955401576837,0.9117905105579247
55,176,2,scissors.pict,nan,low,old,test,56,1257,original,low,low,high,low,-0.5,low1,rem,1.0,0.0,0.0,1.0,2757,431.486,context1,1.0,context1.scissors.pict.nan.,0.10970147573942354,0.26903099325910346,0.0,1.0,1.0,True,context1.scissors.pict.racket.,False,1.0,0.48832169528137237,0.3,0.3,3.0,1.069375701338549,0.8522436205500294
56,177,2,table.pict,nan,low,old,test,57,991,original,low,low,high,high,-0.5,low1,rem,1.0,0.0,0.0,1.0,2491,434.243,context1,1.0,context1.table.pict.nan.,0.11218021710873995,0.2733883355216598,0.0,1.0,1.0,True,context1.table.pict.knuckle.,False,1.0,0.49137183486516184,0.3,0.3,3.0,1.0642693303807305,0.8814487931108601
