,subject,group,condition,list,stim1,stim2,free_recall_acc,cued_recall_acc,cue_type,trial,cue_type_prioritem1,cue_type_prioritem2,cue_type_prioritem3,cue_type_prioritem4,cue_type_consec_value,cue_type_consec_lab,procedure,testtria,response,duration,extra,onset,epiname,epiA_cued_recall,epiA_free_recall,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,stim2.semA,stim2.semB,wmAvailable,wmSpent,cued_recall_acc_pred,free_recall_acc_pred
54,1,a,att,contextb2,handel,nan,1,1,tbr,55,tbr,tbf,tbf,tbf,0.5,tbr1,test,7,gewalt,3000,0,150.001,handel.nan.contextb2.,0.864352543,0.928854691,0.381869125,0,1,0.986803301,TRUE,handel.gewalt.contextb2.,FALSE,1,0.589868677,0.3,0.3,3,0.765513712,0.40065579,0.209299739
55,1,a,att,contextb2,form,nan,0.5,0,tbr,56,tbr,tbf,tbf,tbr,0.5,tbr1,test,8,nan,3000,0,153.001,form.nan.contextb2.,0.867522247,0.93219176,0.382420519,0,1,0.987866288,TRUE,form.nagel.contextb2.,FALSE,1,0.595204162,0.3,0.3,3,0.758929074,0.4067846,0.209581013
57,1,a,att,contextb2,schauspieler,nan,0,1,tbr,58,tbr,tbr,tbf,tbr,1.5,tbr2,test,10,frau,3000,0,159.001,schauspieler.nan.contextb2.,0.84654925,0.844825947,0.381447959,0,1,0.989275813,TRUE,schauspieler.frau.contextb2.,FALSE,1,0.567013572,0.3,0.3,3,0.794604098,0.366724998,0.202290661
58,1,a,att,contextb2,kommission,nan,0,0,tbr,59,tbf,tbr,nan,nan,-0.5,tbf1,test,11,nan,3000,0,162.001,kommission.nan.contextb2.,0.839922725,0.758824466,0.377400252,0,1,0.989775967,TRUE,kommission.seil.contextb2.,FALSE,1,0.564180177,0.3,0.3,3,0.798318881,0.354341526,0.195264409
59,1,a,att,contextb2,gitter,nan,1,0,tbr,60,tbf,tbr,tbr,tbr,-0.5,tbf1,test,12,nan,3000,0,165.001,gitter.nan.contextb2.,0.845325818,0.822390325,0.381447959,0,1,0.990192666,TRUE,gitter.schlauch.contextb2.,FALSE,1,0.567013572,0.3,0.3,3,0.794594474,0.364427764,0.200443261
48,1,a,reh+att,contextc1,haus,nan,0,1,tbr,49,tbf,tbf,tbf,tbr,-2.5,tbf3,test,1,system,3000,60000,132.001,haus.nan.contextc1.,0.878338657,1.466540173,0.397397256,0,1,0.894927862,TRUE,haus.system.contextc1.,FALSE,1,0.578178079,0.3,0.3,3,0.785766909,0.427862411,0.257408912
50,1,a,reh+att,contextc1,werk,nan,0,0,tbr,51,tbr,tbr,tbf,tbf,1.5,tbr2,test,3,nan,3000,0,138.001,werk.nan.contextc1.,0.848938642,0.702635835,0.365813267,0,1,0.969964088,TRUE,werk.aufgabe.contextc1.,FALSE,1,0.585108038,0.3,0.3,3,0.771821433,0.371225276,0.190754975
51,1,a,reh+att,contextc1,prinzip,nan,0.5,0,tbr,52,tbr,tbf,tbf,tbf,0.5,tbr1,test,4,nan,3000,0,141.001,prinzip.nan.contextc1.,0.883288846,1.552533178,0.40314382,0,1,0.978234431,TRUE,prinzip.zaun.contextc1.,FALSE,1,0.582200674,0.3,0.3,3,0.775260997,0.43758176,0.265603311
52,1,a,reh+att,contextc1,zahl,nan,0,0,tbr,53,tbf,tbr,tbr,tbf,-0.5,tbf1,test,5,nan,3000,0,144.001,zahl.nan.contextc1.,0.905552382,2.201758485,0.419077045,0,1,0.98245419,TRUE,zahl.verhalten.contextc1.,FALSE,1,0.593353931,0.3,0.3,3,0.761280086,0.481677499,0.331420644
53,1,a,reh+att,contextc1,vorschlag,nan,1,1,tbr,54,tbr,tbf,tbf,tbr,0.5,tbr1,test,6,poster,3000,0,147.001,vorschlag.nan.contextc1.,0.849295944,0.68084256,0.367039629,0,1,0.984914428,TRUE,vorschlag.poster.contextc1.,FALSE,1,0.588223747,0.3,0.3,3,0.767584172,0.371899767,0.18902329
54,1,a,reh+att,contextc1,arme,nan,0,1,tbr,55,tbr,nan,nan,nan,0.5,tbr1,test,7,glück,3000,0,150.001,arme.nan.contextc1.,0.848658611,0.884954804,0.381447959,0,1,0.986505575,TRUE,arme.glück.contextc1.,FALSE,1,0.567013572,0.3,0.3,3,0.794638397,0.37069693,0.20562025
55,1,a,reh+att,contextc1,mitte,nan,1,1,tbr,56,tbf,tbf,tbr,tbr,-1.5,tbf2,test,8,stift,3000,0,153.001,mitte.nan.contextc1.,0.882829992,1.509095386,0.405185628,0,1,0.987619768,TRUE,mitte.stift.contextc1.,FALSE,1,0.583629939,0.3,0.3,3,0.773295407,0.436679153,0.261447581
