,Unnamed: 0,subject,list,trial,stim1,freq,acc,nominal.sp,composition,freq_prioritem1,freq_prioritem,freq_prioritem2,freq_prioritem3,freq_consec_value,freq_consec_lab,source,procedure,duration,onset,testtype,epiname,epiA,epiB,epiS,list.semA,list.semB,relatedNode,retrievedName,sameNode,stim1.semA,stim1.semB,wmAvailable,wmSpent,acc_pred
19,372,1,context12,20,quart,low,0,6,mixed,high,high,low,high,0.5,high1,original,test,3000,1113.001,free_recall,context12.quart.,0.4611412159119582,0.40650478772634174,0.4747961698189267,1.0,0.9757288237785017,False,context12.quart.,True,1.0,0.5474946751031029,2.8,0.5615244959365278,0.39476615050887387
20,373,1,context12,21,chrome,low,0,14,mixed,high,high,low,high,0.5,high1,original,test,3000,1116.001,free_recall,context12.chrome.,0.4748525911948417,0.4168349760512827,0.46653201915897385,1.0,0.9767717254286913,False,context12.chrome.,True,1.0,0.5798104303686971,2.8,0.502299134799574,0.4100943560888401
21,374,1,context12,22,length,high,0,9,mixed,high,high,high,low,1.5,high2,original,test,3000,1119.001,free_recall,context12.length.,0.4649034458982623,0.41183114616102795,0.47053508307117764,1.0,0.9777203775658949,False,context12.length.,True,1.0,0.5888001995547927,2.8,0.49888226914522815,0.3989569123616631
23,376,1,context12,24,plant,high,0,7,mixed,low,low,high,low,-0.5,low1,original,test,3000,1125.001,free_recall,context12.plant.,0.4421396029692889,0.39283428580415686,0.48573257135667447,1.0,0.9793830105518334,False,context12.plant.,True,1.0,0.6280225350115035,2.8,0.46312014783523836,0.37379506184068034
24,377,1,context12,25,old,high,0,13,mixed,low,low,high,low,-0.5,low1,original,test,3000,1128.001,free_recall,context12.old.,0.46796740721076013,0.4176511452772454,0.4658790837782038,1.0,0.9801160693873133,False,context12.old.,True,1.0,0.6505906871663473,2.8,0.41733659269958656,0.4023785209188067
25,378,1,context12,26,week,high,0,8,mixed,high,high,low,high,0.5,high1,original,test,3000,1131.001,free_recall,context12.week.,0.4359691183796092,0.3888881438503569,0.48888948491971446,1.0,0.9807938267398213,False,context12.week.,True,1.0,0.6333328863048587,2.8,0.4597329511617247,0.3670612897924959
26,379,1,context12,27,hope,high,1,3,mixed,high,high,low,nan,0.5,high1,original,test,3000,1134.001,free_recall,context12.hope.,0.41416320194665657,0.3695658832419759,0.5043472934064193,1.0,0.9814224827363381,False,context12.hope.,True,1.0,0.621739529945184,2.8,0.4892397247750055,0.3436029712478371
27,380,1,context12,28,psalm,low,1,15,mixed,low,low,high,low,-0.5,low1,original,test,3000,1137.001,free_recall,context12.psalm.,0.3407343162687615,0.29378755629888187,0.5649699549608945,1.0,0.9820073323289662,False,context12.psalm.,True,1.0,0.5353138244016808,2.8,0.6733518430921523,0.2693418017020672
28,381,1,context12,29,fir,low,0,10,mixed,high,high,high,high,2.5,high3,original,test,3000,1140.001,free_recall,context12.fir.,0.4292777727960041,0.38518817679317824,0.4918494585654575,1.0,0.9825529258675523,False,context12.fir.,True,1.0,0.5133258564363685,2.8,0.6305422269363605,0.3598051108218868
29,382,1,context12,30,scene,high,0,2,mixed,low,low,nan,nan,-0.5,low1,original,test,3000,1143.001,free_recall,context12.scene.,0.4008861326246619,0.3595792153259273,0.5123366277392581,1.0,0.9830631965004183,False,context12.scene.,True,1.0,0.6156741645022029,2.8,0.5049108030287522,0.32960265902222796
30,383,1,context12,31,law,high,1,5,mixed,low,low,high,high,-0.5,low1,original,test,3000,1146.001,free_recall,context12.law.,0.40518541814181663,0.36434860458136614,0.508521116334907,1.0,0.9835415621585333,False,context12.law.,True,1.0,0.6186080330312544,2.8,0.49732116547885946,0.3341112296604928
31,384,1,context12,32,pail,low,1,16,mixed,low,low,low,high,-1.5,low2,original,test,3000,1149.001,free_recall,context12.pail.,0.3345207884430899,0.29211023521335716,0.5663118118293143,1.0,0.9839910078682109,False,context12.pail.,True,1.0,0.5284657886105568,2.8,0.685487975739637,0.2634460554043825
16,401,1,context13,17,place,high,1,8,pure,high,high,high,high,3.5,high4,original,test,3000,1200.001,free_recall,context13.place.,0.4995644120635315,0.4391385275639406,0.44868917794884755,1.0,0.9718623311678009,False,context13.place.,True,1.0,0.6634831165383643,2.8,0.3865275718969341,0.43805458849972634
17,402,1,context13,18,end,high,0,12,pure,high,high,high,high,3.5,high4,original,test,3000,1203.001,free_recall,context13.end.,0.5332426738815436,0.47088443897504234,0.4232924488199661,1.0,0.9732953866663862,False,context13.end.,True,1.0,0.6825306633847246,2.8,0.3394907291901866,0.4766361021434006
18,403,1,context13,19,view,high,0,14,pure,high,high,high,high,3.5,high4,original,test,3000,1206.001,free_recall,context13.view.,0.5483781558073982,0.4856779537580188,0.41145763699358495,1.0,0.9745763465632968,False,context13.view.,True,1.0,0.6892244016793381,2.8,0.31872705852312566,0.49406883252674755
19,404,1,context13,20,name,high,0,13,pure,high,high,high,high,3.5,high4,original,test,3000,1209.001,free_recall,context13.name.,0.5180487581780887,0.4586209656715585,0.4331032274627532,1.0,0.9757288237785017,False,context13.name.,True,1.0,0.6751725794029351,2.8,0.357855776639613,0.4591809778389733
20,405,1,context13,21,world,high,0,4,pure,high,high,high,high,2.5,high3,original,test,3000,1212.001,free_recall,context13.world.,0.44549973251595487,0.39283428580415686,0.48573257135667447,1.0,0.9767717254286913,False,context13.world.,True,1.0,0.6357005714824941,2.8,0.45392265949844435,0.3774783456779812
22,407,1,context13,23,stock,high,1,6,pure,high,high,high,high,3.5,high4,original,test,3000,1218.001,free_recall,context13.stock.,0.44324950136954894,0.39283428580415686,0.48573257135667447,1.0,0.9785873405905352,False,context13.stock.,True,1.0,0.6262093829373234,2.8,0.46535904317049975,0.37501044713847154
23,408,1,context13,24,war,high,0,9,pure,high,high,high,high,3.5,high4,original,test,3000,1221.001,free_recall,context13.war.,0.45170563412700226,0.40159988270164126,0.478720093838687,1.0,0.9793830105518334,False,context13.war.,True,1.0,0.6409599265397443,2.8,0.4408251812452865,0.3843102401888616
24,409,1,context13,25,job,high,1,5,pure,high,high,high,high,3.5,high4,original,test,3000,1224.001,free_recall,context13.job.,0.42918123874116243,0.3817074326742951,0.4946340538605639,1.0,0.9801160693873133,False,context13.job.,True,1.0,0.6290244596045771,2.8,0.47061566989906045,0.3597007896354687
25,410,1,context13,26,land,high,1,7,pure,high,high,high,high,3.5,high4,original,test,3000,1227.001,free_recall,context13.land.,0.43196191270750806,0.38518817679317824,0.4918494585654575,1.0,0.9807938267398213,False,context13.land.,True,1.0,0.631094592665346,2.8,0.4653384913123245,0.36270993049422984
26,411,1,context13,27,man,high,0,3,pure,high,high,high,nan,1.5,high2,original,test,3000,1230.001,free_recall,context13.man.,0.4141512335711019,0.3695658832419759,0.5043472934064193,1.0,0.9814224827363381,False,context13.man.,True,1.0,0.6217395299451856,2.8,0.48923972477500355,0.3435902501814964
27,412,1,context13,28,book,high,0,15,pure,high,high,high,high,3.5,high4,original,test,3000,1233.001,free_recall,context13.book.,0.4587687231478941,0.41183114616102795,0.47053508307117764,1.0,0.9820073323289662,False,context13.book.,True,1.0,0.6470986852734223,2.8,0.4257529343749586,0.39212963538790174
28,413,1,context13,29,growth,high,1,2,pure,high,high,nan,nan,0.5,high1,original,test,3000,1236.001,free_recall,context13.growth.,0.4042011771299566,0.3619124251778547,0.5104700598577162,1.0,0.9825529258675523,False,context13.growth.,True,1.0,0.5501913252881494,2.8,0.592592124888575,0.33307693203494754
29,414,1,context13,30,side,high,0,11,pure,high,high,high,high,3.5,high4,original,test,3000,1239.001,free_recall,context13.side.,0.42837720381033517,0.38518817679317824,0.4918494585654575,1.0,0.9830631965004183,False,context13.side.,True,1.0,0.6311129058447391,2.8,0.465263839101251,0.3588323022246811
30,415,1,context13,31,case,high,0,16,pure,high,high,high,high,3.5,high4,original,test,3000,1242.001,free_recall,context13.case.,0.4451791849155707,0.40159988270164126,0.478720093838687,1.0,0.9835415621585333,False,context13.case.,True,1.0,0.6409599296209197,2.8,0.4407265023675383,0.37712648277125427
31,416,1,context13,32,plane,high,1,10,pure,high,high,high,high,3.5,high4,original,test,3000,1245.001,free_recall,context13.plane.,0.41624098871848936,0.37531551898958104,0.4997475848083352,1.0,0.9839910078682109,False,context13.plane.,True,1.0,0.6251804423759394,2.8,0.48031426202713096,0.34581410338312235
16,433,1,context14,17,month,high,0,9,mixed,low,low,low,high,-1.5,low2,original,test,3000,1296.001,free_recall,context14.month.,0.5094418350038437,0.4481885790346025,0.441449136772318,1.0,0.9718623311678009,False,context14.month.,True,1.0,0.6689050339663205,1.5341041952892014,0.3733702751894168,0.44932578182496086
