,composition,duration,freq,list,onset,procedure,sp,stim1,stim2,subject,trial,testtype,epiname,reduce_wm,stim1.semB,stim1.semA,list.semB,list.semA,stim2.semB,stim2.semA,epiA,epiB,retrievedName,sameNode,relatedNode,wmSpent,epiS,wmAvailable,acc_pred,acc,experiment
242,Pure HF,1000,HF,context1,372.001,study,3,quiet,position_3,5,3,,quiet.context1.position_3.,False,0.39999837733047894,1.0,1.0,1.0,0.99,1.0,0.0,0.0,quiet.context1.position_3.,True,True,0.8347991465361808,0.5855193488814302,2.4277878212569783,0.07195740569505976,,
243,Pure HF,1000,HF,context1,373.001,study,4,third,position_4,5,4,,third.context1.position_4.,False,0.399884060019754,1.0,1.0,1.0,0.99,1.0,0.0,0.0,third.context1.position_4.,True,True,0.7436532775378726,0.5261898069148274,2.0301688505020477,0.07195740569505976,,
244,Pure HF,1000,HF,context1,374.001,study,5,guys,position_5,5,5,,guys.context1.position_5.,False,0.4,1.0,1.0,1.0,0.99,1.0,0.0,0.0,guys.context1.position_5.,True,True,0.6731525245478344,0.4754905280892384,1.723695748745425,0.07195740569505976,,
245,Pure HF,1000,HF,context1,375.001,study,6,plenty,position_6,5,6,,plenty.context1.position_6.,False,0.39960650331417186,1.0,1.0,1.0,0.99,1.0,0.0,0.0,plenty.context1.position_6.,True,True,0.6194198022129658,0.432285538770219,1.4877233999788406,0.07195740569505976,,
246,Pure HF,500,HF,context1,375.501,test,1,nan,position_1,5,7,,nan.context1.position_1.,False,0.99,0.99,1.0,1.0,0.9954196620568236,1.0,1.2658514716607359,0.5243999846532741,drink.context1.position_1.,False,True,0.19249879853644128,0.0,1.0868936856565,0.9183583541060829,0.92,1.0
247,Pure HF,500,HF,context1,376.001,test,2,nan,position_2,5,8,,nan.context1.position_2.,False,0.99,0.99,1.0,1.0,0.9948997065276507,1.0,0.973190851822626,0.47408969552230157,top.context1.position_2.,False,True,0.1971216222626355,0.0,1.1129849750106837,0.7685061669263735,0.81,1.0
248,Pure HF,500,HF,context1,376.501,test,3,nan,position_3,5,9,,nan.context1.position_3.,False,0.99,0.99,1.0,1.0,0.9944523119320916,1.0,0.8099195573274486,0.43080027027215023,quiet.context1.position_3.,False,True,0.2009252016975428,0.0,1.1344534406386733,0.6426802532984823,0.69,1.0
249,Pure HF,500,HF,context1,377.001,test,4,nan,position_4,5,10,,nan.context1.position_4.,False,0.99,0.99,1.0,1.0,0.9940704561656216,1.0,0.695635531367011,0.39384726153408783,third.context1.position_4.,False,True,0.204054554982638,0.0,1.1521183268317554,0.5429358498468289,0.56,1.0
250,Pure HF,500,HF,context1,377.501,test,5,nan,position_5,5,11,,nan.context1.position_5.,False,0.99,0.99,1.0,1.0,0.993748634986865,1.0,0.6099035211311996,0.36271341441087257,guys.context1.position_5.,False,True,0.2066290708844977,0.0,1.1666538597397424,0.46590826238124566,0.45,1.0
251,Pure HF,500,HF,context1,378.001,test,6,nan,position_6,5,12,,nan.context1.position_6.,False,0.99,0.99,1.0,1.0,0.9934811989895437,1.0,0.5448858854857223,0.33682158010921043,plenty.context1.position_6.,False,True,0.20874704514568224,0.0,1.1786148767458697,0.4081816435625964,0.67,1.0
